"REMIND_variable";"JRC_complete";"JRC_Excel";"JRC_spreadsheet";"Weight";"Unit_REMIND";"Unit_JRC";"Factor"
"FE|Transport";"Transport|Energy consumption|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport";"Maritime Bunkers|Energy Consumption|Total energy consumption|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport";"Maritime Bunkers|Energy Consumption|Total energy consumption|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Transport|CO2 emissions|Freight transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Domestic coastal shipping";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Bunkers";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|w/o Bunkers";"Transport|Energy consumption|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Transport|Energy consumption|Freight transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Transport|Energy consumption|Freight transport|Coastal shipping and inland waterways|Domestic coastal shipping";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Transport|Energy consumption|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Maritime Bunkers|Energy Consumption|Total energy consumption|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Bunkers";"Maritime Bunkers|Energy Consumption|Total energy consumption|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass";"Transport|CO2 emissions|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Domestic coastal shipping";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass";"Transport|Energy consumption|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Coastal shipping and inland waterways|Domestic coastal shipping";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Transport|Energy consumption|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Maritime Bunkers|Energy Consumption|Total energy consumption|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight";"Maritime Bunkers|Energy Consumption|Total energy consumption|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_ene";1;"EJ/yr";"ktoe";4.19E-05
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|w/o Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Pass|Bunkers";"Transport|CO2 emissions|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|w/o Bunkers";"Transport|CO2 emissions|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers";"Transport|CO2 emissions|Freight transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Domestic coastal shipping";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers";"Transport|CO2 emissions|Freight transport|Coastal shipping and inland waterways|Inland waterways";"JRC-IDEES-2015_Transport_";"Transport";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Intra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"Emi|CO2|Transport|Freight|Bunkers";"Maritime Bunkers|CO2 Emissions|Split of CO2 emissions|Extra-EU";"JRC-IDEES-2015_MBunkers_";"MBunk_emi";1;"Mt CO2/yr";"kt of CO2";0.001
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Powered 2-wheelers";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Passenger cars";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Road transport|Motor coaches, buses and trolley buses";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Metro and tram, urban light rail";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|Conventional passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Rail, metro and tram|High speed passenger trains";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|Domestic";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|w/o Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Pass|Bunkers";"Transport|Energy consumption|Passenger transport|Aviation|International - Extra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight|w/o Bunkers";"Transport|Energy consumption|Freight transport|Road transport|Light duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight|w/o Bunkers";"Transport|Energy consumption|Freight transport|Road transport|Heavy duty vehicles";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight|w/o Bunkers";"Transport|Energy consumption|Freight transport|Rail transport";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
"FE|Transport|Freight|w/o Bunkers";"Transport|Energy consumption|Freight transport|Aviation|Domestic and International - Intra-EU";"JRC-IDEES-2015_Transport_";"Transport";1;"EJ/yr";"ktoe";4.19E-05
